Film,Ceremony,Award,Year
Anora,Los Angeles Film Critics Association Awards,Winner: Best Picture,2024
Anora,Los Angeles Film Critics Association Awards,Winner: Best Supporting Performance,2024
Anora,Los Angeles Film Critics Association Awards,2nd place: Best Director,2024
Anora,Los Angeles Film Critics Association Awards,2nd place: Best Screenplay,2024
Anora,Vancouver International Film Festival,Official Selection,2024
Anora,Stockholm International Film Festival,Official Selection,2024
Anora,San Francisco Bay Area Film Critics Circle,Winner: Best Editing,2025
Anora,San Francisco Bay Area Film Critics Circle,Winner: Best Film,2025
Anora,San Francisco Bay Area Film Critics Circle,2nd place: Best Director,2025
Anora,San Francisco Bay Area Film Critics Circle,2nd place: Best Actress,2025
Anora,San Francisco Bay Area Film Critics Circle,Winner: Best Supporting Actor,2025
Anora,San Francisco Bay Area Film Critics Circle,Winner: Best Original Screenplay,2025
Anora,London Critics Circle Film Awards,Nominee: Screenwriter of the Year,2025
Anora,London Critics Circle Film Awards,Nominee: Actress of the Year,2025
Anora,London Critics Circle Film Awards,Nominee: Supporting Actor of the Year,2025
Anora,London Critics Circle Film Awards,Winner: Breakthrough Performer,2025
Anora,London Critics Circle Film Awards,Nominee: Film of the Year,2025
Anora,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Stunts,2025
Anora,London Critics Circle Film Awards,Nominee: Director of the Year,2025
Anora,Festival du Nouveau Cinéma,Official Selection,2024
Anora,Toronto Film Critics Association Awards,Nominee: Best Original Screenplay,2024
Anora,Toronto Film Critics Association Awards,Nominee: Best Picture,2024
Anora,Toronto Film Critics Association Awards,Nominee: Best Director,2024
Anora,Toronto Film Critics Association Awards,Winner: Outstanding Lead Performance,2024
Anora,Toronto Film Critics Association Awards,Winner: Outstanding Supporting Performance,2024
Anora,Toronto Film Critics Association Awards,Nominee: Breakthrough Performance,2024
Anora,National Society of Film Critics Awards,2nd place: Best Picture,2025
Anora,National Society of Film Critics Awards,3rd place: Best Director,2025
Anora,National Society of Film Critics Awards,2nd place: Best Actress,2025
Anora,National Society of Film Critics Awards,3rd place: Best Screenplay,2025
Anora,Chicago Film Critics Association Awards,Nominee: Best Actress,2024
Anora,Chicago Film Critics Association Awards,Nominee: Best Supporting Actor,2024
Anora,Chicago Film Critics Association Awards,Nominee: Best Original Screenplay,2024
Anora,Chicago Film Critics Association Awards,Nominee: Best Editing,2024
Anora,Chicago Film Critics Association Awards,Nominee: Best Picture,2024
Anora,Chicago Film Critics Association Awards,Nominee: Best Director,2024
Anora,British Independent Film Awards,Winner: Best International Independent Film,2024
Anora,Boston Society of Film Critics Awards,Winner: Best Director,2024
Anora,Boston Society of Film Critics Awards,Winner: Best Original Screenplay,2024
Anora,Boston Society of Film Critics Awards,Winner: Best Film,2024
Anora,Boston Society of Film Critics Awards,Winner: Best Actress,2024
Anora,Ghent Film Festival,Official Selection,2024
Anora,New York Film Critics,Winner: Best Screenplay,2024
Anora,Austin Film Critics Association,Nominee: Best Ensemble,2025
Anora,Austin Film Critics Association,Winner: Best Original Screenplay,2025
Anora,Austin Film Critics Association,Winner: Best Director,2025
Anora,Austin Film Critics Association,Nominee: Best Editing,2025
Anora,Austin Film Critics Association,Winner: Best Picture,2025
Anora,Austin Film Critics Association,Winner: [1] AFCA Top 10 Films,2025
Anora,Austin Film Critics Association,Winner: Best Actress,2025
Anora,Austin Film Critics Association,Winner: Best Supporting Actor,2025
Anora,Busan International Film Festival,Official Selection,2024
Anora,Tallinn Black Nights Film Festival,Official Selection,2024
Anora,Deauville Film Festival,Official Selection,2024
Anora,Hamburg Film Festival,Official Selection,2024
Anora,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
Anora,Philadelphia Film Festival,Official Selection,2024
Anora,Zurich Film Festival,Official Selection,2024
Anora,Athens International Film Festival,Official Selection,2024
Anora,Seattle Film Critics Awards,Winner: Best Lead Actress,2025
Anora,Seattle Film Critics Awards,Nominee: Best Ensemble,2025
Anora,Seattle Film Critics Awards,Nominee: Best Editing,2025
Anora,Seattle Film Critics Awards,Winner: Best Director,2025
Anora,Seattle Film Critics Awards,Winner: Best Screenplay,2025
Anora,Seattle Film Critics Awards,Winner: Best Ensemble Cast,2025
Anora,Bergen International Film Festival,Official Selection,2024
Anora,Viennale,Official Selection,2024
Anora,Gotham Awards,Nominee: Best Feature,2024
Anora,Gotham Awards,Nominee: Outstanding Lead Performance,2024
Anora,Gotham Awards,Nominee: Outstanding Supporting Performance,2024
Anora,Gotham Awards,Nominee: Best Director,2024
Anora,Calgary International Film Festival,Official Selection,2024
Anora,Critics Choice Awards,Nominee: Best Original Screenplay,2025
Anora,Critics Choice Awards,Winner: Best Picture,2025
Anora,Critics Choice Awards,Nominee: Best Editing,2025
Anora,Critics Choice Awards,Nominee: Best Director,2025
Anora,Critics Choice Awards,Nominee: Best Actress,2025
Anora,Critics Choice Awards,Nominee: Best Supporting Actor,2025
Anora,Critics Choice Awards,Nominee: Best Acting Ensemble,2025
Anora,Mumbai Film Festival,Official Selection,2024
Anora,International Film Festival of Kerala,Official Selection,2024
Anora,Rome Film Festival,Official Selection,2024
Anora,Capri Hollywood International Film Festival,Winner: Best Original Screenplay,2024
Anora,Montclair Film Festival,Official Selection,2024
Anora,Beyond Fest,Official Selection,2024
Anora,Cinefest Sudbury International Film Festival,Official Selection,2024
Anora,Leiden International Film Festival,Official Selection,2024
Anora,Leeds International Film Festival,Official Selection,2024
Anora,Adelaide Film Festival,Official Selection,2024
A Real Pain,Academy Awards,Nominee: Best Actor in a Supporting Role,2025
A Real Pain,Academy Awards,Nominee: Best Original Screenplay,2025
A Real Pain,Sundance Film Festival,Winner: Waldo Salt Screenwriting Award (U.S. Dramatic),2024
A Real Pain,Independent Spirit Awards,Nominee: Best Screenplay,2025
A Real Pain,Independent Spirit Awards,Nominee: Best Supporting Performance,2025
A Real Pain,Indiewire Critics' Poll,2nd place: Best Screenplay,2024
A Real Pain,BFI London Film Festival,Official Selection,2024
A Real Pain,American Film Institute Awards,Winner: Movie of the Year,2024
A Real Pain,National Board of Review,Winner: Best Supporting Actor,2024
A Real Pain,National Board of Review,Winner: Top Films,2024
A Real Pain,Mar del Plata International Film Festival,Official Selection,2024
A Real Pain,BAFTA Awards,Nominee: Best Supporting Actor,2025
A Real Pain,BAFTA Awards,Nominee: Best Screenplay (Original),2025
A Real Pain,New York Film Festival,Official Selection,2024
A Real Pain,Golden Globes (USA),Nominee: Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,2025
A Real Pain,Golden Globes (USA),Winner: Best Performance by an Actor in a Supporting Role in any Motion Picture,2025
A Real Pain,Golden Globes (USA),Nominee: Best Screenplay - Motion Picture,2025
A Real Pain,Golden Globes (USA),Nominee: Best Motion Picture - Musical or Comedy,2025
A Real Pain,New York Film Critics Circle Awards,Winner: Best Supporting Actor,2024
A Real Pain,Los Angeles Film Critics Association Awards,Winner: Best Screenplay,2024
A Real Pain,Los Angeles Film Critics Association Awards,Winner: Best Supporting Performance,2024
A Real Pain,Chicago International Film Festival,Official Selection,2024
A Real Pain,Stockholm International Film Festival,Official Selection,2024
A Real Pain,San Francisco Bay Area Film Critics Circle,2nd place: Best Supporting Actor,2025
A Real Pain,San Francisco Bay Area Film Critics Circle,Nominee: Best Original Screenplay,2025
A Real Pain,London Critics Circle Film Awards,Winner: Screenwriter of the Year,2025
A Real Pain,London Critics Circle Film Awards,Winner: Supporting Actor of the Year,2025
A Real Pain,Toronto Film Critics Association Awards,Winner: Outstanding Supporting Performance,2024
A Real Pain,National Society of Film Critics Awards,Winner: Best Supporting Actor,2025
A Real Pain,National Society of Film Critics Awards,Winner: Best Screenplay,2025
A Real Pain,Chicago Film Critics Association Awards,Winner: Best Supporting Actor,2024
A Real Pain,Chicago Film Critics Association Awards,Winner: Best Original Screenplay,2024
A Real Pain,Ghent Film Festival,Official Selection,2024
A Real Pain,New York Film Critics,Winner: Best Supporting Actor,2024
A Real Pain,Austin Film Critics Association,Nominee: Best Supporting Actor,2025
A Real Pain,Austin Film Critics Association,Nominee: Best Original Screenplay,2025
A Real Pain,Tokyo International Film Festival,Official Selection,2024
A Real Pain,Busan International Film Festival,Official Selection,2024
A Real Pain,Tallinn Black Nights Film Festival,Official Selection,2024
A Real Pain,Valladolid International Film Festival,Official Selection,2024
A Real Pain,Belfast Film Festival,Official Selection,2024
A Real Pain,Philadelphia Film Festival,Official Selection,2024
A Real Pain,Zurich Film Festival,Official Selection,2024
A Real Pain,Athens International Film Festival,Official Selection,2024
A Real Pain,Seattle Film Critics Awards,Nominee: Best Screenplay,2025
A Real Pain,Seattle Film Critics Awards,Nominee: Best Supporting Actor,2025
A Real Pain,Bergen International Film Festival,Official Selection,2024
A Real Pain,Viennale,Official Selection,2024
A Real Pain,Rio de Janeiro International Film Festival,Official Selection,2024
A Real Pain,Gotham Awards,Nominee: Outstanding Supporting Performance,2024
A Real Pain,Palm Springs International Film Festival,Official Selection,2025
A Real Pain,Critics Choice Awards,Winner: Best Supporting Actor,2025
A Real Pain,Critics Choice Awards,Nominee: Best Original Screenplay,2025
A Real Pain,Critics Choice Awards,Winner: Best Comedy,2025
A Real Pain,Lisbon & Estoril Film Festival,Official Selection,2024
A Real Pain,Austin Film Festival,Official Selection,2024
A Real Pain,Haifa International Film Festival,Official Selection,2024
A Real Pain,Capri Hollywood International Film Festival,Winner: Best Supporting Actor,2024
A Real Pain,Beyond Fest,Official Selection,2024
A Real Pain,Alice nella Città,Official Selection,2024
A Real Pain,Leiden International Film Festival,Official Selection,2024
A Real Pain,Leeds International Film Festival,Official Selection,2024
Wicked,Academy Awards,Nominee: Best Picture,2025
Wicked,Academy Awards,Nominee: Best Original Score,2025
Wicked,Academy Awards,Nominee: Best Actress in a Leading Role,2025
Wicked,Academy Awards,Nominee: Best Makeup and Hairstyling,2025
Wicked,Academy Awards,Nominee: Best Actress in a Supporting Role,2025
Wicked,Academy Awards,Nominee: Best Sound,2025
Wicked,Academy Awards,Nominee: Best Editing,2025
Wicked,Academy Awards,Nominee: Best Visual Effects,2025
Wicked,Academy Awards,Nominee: Best Production Design,2025
Wicked,Academy Awards,Nominee: Best Costume Design,2025
Wicked,American Film Institute Awards,Winner: Movie of the Year,2024
Wicked,National Board of Review,Winner: NBR Spotlight Award,2024
Wicked,National Board of Review,Winner: Best Film,2024
Wicked,National Board of Review,Winner: Best Director,2024
Wicked,Mar del Plata International Film Festival,Official Selection,2024
Wicked,BAFTA Awards,Nominee: Best Production Design,2025
Wicked,BAFTA Awards,Nominee: Best Sound,2025
Wicked,BAFTA Awards,Nominee: Best Achievement in Special Visual Effects,2025
Wicked,BAFTA Awards,Nominee: Best Supporting Actress,2025
Wicked,BAFTA Awards,Nominee: Best Costume Design,2025
Wicked,BAFTA Awards,Nominee: Best Leading Actress,2025
Wicked,BAFTA Awards,Nominee: Best Make Up & Hair,2025
Wicked,Golden Globes (USA),Winner: Best Box Office Performance,2025
Wicked,Golden Globes (USA),Nominee: Best Motion Picture - Musical or Comedy,2025
Wicked,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,2025
Wicked,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Supporting Role in any Motion Picture,2025
Wicked,Golden Globes (USA),Winner: Cinematic and Box Office Achievement,2025
Wicked,San Francisco Bay Area Film Critics Circle,Nominee: Best Production Design,2025
Wicked,San Francisco Bay Area Film Critics Circle,Nominee: Best Supporting Actress,2025
Wicked,London Critics Circle Film Awards,Nominee: British/Irish Performer of the Year,2025
Wicked,Chicago Film Critics Association Awards,Nominee: Best Use of Visual Effects,2024
Wicked,Chicago Film Critics Association Awards,Nominee: Best Actress,2024
Wicked,Chicago Film Critics Association Awards,Nominee: Best Supporting Actress,2024
Wicked,Chicago Film Critics Association Awards,Nominee: Best Art Direction/Production Design,2024
Wicked,Chicago Film Critics Association Awards,Nominee: Best Costume Design,2024
Wicked,Chicago Film Critics Association Awards,Nominee: Best Original Score,2024
Wicked,Austin Film Critics Association,Winner: [10] AFCA Top 10 Films,2025
Wicked,Austin Film Critics Association,Nominee: Best Picture,2025
Wicked,Austin Film Critics Association,Nominee: Best Supporting Actress,2025
Wicked,Austin Film Critics Association,Nominee: Best Adapted Screenplay,2025
Wicked,Seattle Film Critics Awards,Nominee: Best Visual Effects,2025
Wicked,Seattle Film Critics Awards,Winner: Best Costume Design,2025
Wicked,Seattle Film Critics Awards,Nominee: Best Lead Actress,2025
Wicked,Seattle Film Critics Awards,Nominee: Best Action Choreography,2025
Wicked,Seattle Film Critics Awards,Nominee: Best Production Design,2025
Wicked,Seattle Film Critics Awards,Nominee: Best Supporting Actress,2025
Wicked,Palm Springs International Film Festival,Official Selection,2025
Wicked,Women Film Critics Circle Awards,Nominee: Best Movie About Women,2024
Wicked,Women Film Critics Circle Awards,Nominee: Josephine Baker Award,2024
Wicked,Critics Choice Awards,Winner: Best Production Design,2025
Wicked,Critics Choice Awards,Nominee: Best Supporting Actress,2025
Wicked,Critics Choice Awards,Nominee: Best Hair and Make-Up,2025
Wicked,Critics Choice Awards,Nominee: Best Acting Ensemble,2025
Wicked,Critics Choice Awards,Nominee: Best Visual Effects,2025
Wicked,Critics Choice Awards,Nominee: Best Adapted Screenplay,2025
Wicked,Critics Choice Awards,Nominee: Best Picture,2025
Wicked,Critics Choice Awards,Nominee: Best Cinematography,2025
Wicked,Critics Choice Awards,Winner: Best Director,2025
Wicked,Critics Choice Awards,Winner: Best Costume Design,2025
Wicked,Critics Choice Awards,Nominee: Best Actress,2025
Wicked,Black Reel Awards,Nominee: Outstanding Lead Performance,2025
Wicked,Black Reel Awards,Nominee: Outstanding Soundtrack,2025
Wicked,Black Reel Awards,Nominee: Outstanding Costume Design,2025
Wicked,Capri Hollywood International Film Festival,Winner: Best Production Design,2024
Wicked,Capri Hollywood International Film Festival,Winner: Best Sound Editing,2024
Emilia Pérez,Cannes Film Festival,Winner: Best Actress,2024
Emilia Pérez,Cannes Film Festival,Winner: Jury Prize,2024
Emilia Pérez,Academy Awards,Nominee: Best International Feature Film,2025
Emilia Pérez,Academy Awards,Nominee: Best Picture,2025
Emilia Pérez,Academy Awards,Nominee: Best Makeup and Hairstyling,2025
Emilia Pérez,Academy Awards,Nominee: Best Editing,2025
Emilia Pérez,Academy Awards,Nominee: Best Actress in a Leading Role,2025
Emilia Pérez,Academy Awards,Nominee: Best Sound,2025
Emilia Pérez,Academy Awards,Nominee: Best Cinematography,2025
Emilia Pérez,Academy Awards,Nominee: Best Actress in a Supporting Role,2025
Emilia Pérez,Academy Awards,Nominee: Best Original Score,2025
Emilia Pérez,Academy Awards,Nominee: Best Director,2025
Emilia Pérez,Academy Awards,Nominee: Best Original Song,2025
Emilia Pérez,Academy Awards,Nominee: Best Adapted Screenplay,2025
Emilia Pérez,Academy Awards,Nominee: Best Original Song,2025
Emilia Pérez,Toronto International Film Festival,2nd place: People’s Choice Award,2024
Emilia Pérez,San Sebastián International Film Festival,Official Selection,2024
Emilia Pérez,Telluride Film Festival,Official Selection,2024
Emilia Pérez,Indiewire Critics' Poll,Nominee: Best Director,2024
Emilia Pérez,Indiewire Critics' Poll,Nominee: Best International Film,2024
Emilia Pérez,BFI London Film Festival,Official Selection,2024
Emilia Pérez,American Film Institute Awards,Winner: Movie of the Year,2024
Emilia Pérez,Mar del Plata International Film Festival,Official Selection,2024
Emilia Pérez,BAFTA Awards,Nominee: Best Adapted Screenplay,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Film Not in the English Language,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Cinematography,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Film,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Editing,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Leading Actress,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Make Up & Hair,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Supporting Actress,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Original Score,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Supporting Actress,2025
Emilia Pérez,BAFTA Awards,Nominee: Best Director,2025
Emilia Pérez,New York Film Festival,Official Selection,2024
Emilia Pérez,Directors Guild of America,Nominee: Outstanding Directorial Achievement in Theatrical Feature Film,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Original Song - Motion Picture,2025
Emilia Pérez,Golden Globes (USA),Winner: Best Performance by a Female Actor in a Supporting Role in any Motion Picture,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Director - Motion Picture,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Screenplay - Motion Picture,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Supporting Role in any Motion Picture,2025
Emilia Pérez,Golden Globes (USA),Winner: Best Motion Picture - Musical or Comedy,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Original Score - Motion Picture,2025
Emilia Pérez,Golden Globes (USA),Winner: Best Motion Picture – Non-English Language,2025
Emilia Pérez,Golden Globes (USA),Nominee: Best Original Song - Motion Picture,2025
Emilia Pérez,European Film Awards,Winner: European Screenwriter,2024
Emilia Pérez,European Film Awards,Winner: European Actress,2024
Emilia Pérez,European Film Awards,Winner: European Editing,2024
Emilia Pérez,European Film Awards,Winner: European Film,2024
Emilia Pérez,Vancouver International Film Festival,Official Selection,2024
Emilia Pérez,Chicago International Film Festival,Official Selection,2024
Emilia Pérez,Stockholm International Film Festival,Official Selection,2024
Emilia Pérez,San Francisco Bay Area Film Critics Circle,2nd place: Best International Feature Film,2025
Emilia Pérez,San Francisco Bay Area Film Critics Circle,2nd place: Best Supporting Actress,2025
Emilia Pérez,San Francisco Bay Area Film Critics Circle,Nominee: Best Actress,2025
Emilia Pérez,San Francisco Bay Area Film Critics Circle,Nominee: Best Original Score,2025
Emilia Pérez,San Francisco Bay Area Film Critics Circle,Nominee: Best Adapted Screenplay,2025
Emilia Pérez,London Critics Circle Film Awards,Winner: Supporting Actress of the Year,2025
Emilia Pérez,London Critics Circle Film Awards,Nominee: Breakthrough Performer,2025
Emilia Pérez,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Music,2025
Emilia Pérez,London Critics Circle Film Awards,Nominee: Film of the Year,2025
Emilia Pérez,London Critics Circle Film Awards,Nominee: Foreign Language Film of the Year,2025
Emilia Pérez,Festival du Nouveau Cinéma,Official Selection,2024
Emilia Pérez,Toronto Film Critics Association Awards,Nominee: Outstanding Supporting Performance,2024
Emilia Pérez,Toronto Film Critics Association Awards,Nominee: Breakthrough Performance,2024
Emilia Pérez,Toronto Film Critics Association Awards,Nominee: Outstanding Lead Performance,2024
Emilia Pérez,Chicago Film Critics Association Awards,Nominee: Best Supporting Actress,2024
Emilia Pérez,Chicago Film Critics Association Awards,Nominee: Best Foreign Language Film,2024
Emilia Pérez,Chicago Film Critics Association Awards,Nominee: Most Promising Performer,2024
Emilia Pérez,Mill Valley Film Festival,Official Selection,2024
Emilia Pérez,Brussels Film Festival,Official Selection,2024
Emilia Pérez,Austin Film Critics Association,Nominee: Best International Film,2025
Emilia Pérez,Busan International Film Festival,Official Selection,2024
Emilia Pérez,Goya Awards,Winner: Best European Film,2025
Emilia Pérez,Valladolid International Film Festival,Official Selection,2024
Emilia Pérez,Gijón International Film Festival,Official Selection,2023
Emilia Pérez,Hawaii International Film Festival,Official Selection,2024
Emilia Pérez,Hamburg Film Festival,Official Selection,2024
Emilia Pérez,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
Emilia Pérez,Seville European Film Festival,Official Selection,2024
Emilia Pérez,Lumiere Awards,Winner: Best Director,2025
Emilia Pérez,Lumiere Awards,Winner: Best Actress,2025
Emilia Pérez,Lumiere Awards,Winner: Best Screenplay,2025
Emilia Pérez,Lumiere Awards,Nominee: Best Cinematography,2025
Emilia Pérez,Lumiere Awards,Winner: Best Music,2025
Emilia Pérez,Lumiere Awards,Winner: Best Film,2025
Emilia Pérez,Athens International Film Festival,Official Selection,2024
Emilia Pérez,Viennale,Official Selection,2024
Emilia Pérez,Rio de Janeiro International Film Festival,Official Selection,2024
Emilia Pérez,Tromsø International Film Festival,Official Selection,2025
Emilia Pérez,Palm Springs International Film Festival,Winner: FIPRESCI Prize for the Best Actress in an International Feature Film,2025
Emilia Pérez,Women Film Critics Circle Awards,Winner: Best Movie About Women,2024
Emilia Pérez,Women Film Critics Circle Awards,Winner: Best Supporting Actress,2024
Emilia Pérez,Women Film Critics Circle Awards,Nominee: Best Supporting Actress,2024
Emilia Pérez,Women Film Critics Circle Awards,Winner: Best Foreign Film by or About Women,2024
Emilia Pérez,Critics Choice Awards,Nominee: Best Adapted Screenplay,2025
Emilia Pérez,Critics Choice Awards,Nominee: Best Picture,2025
Emilia Pérez,Critics Choice Awards,Nominee: Best Score,2025
Emilia Pérez,Critics Choice Awards,Nominee: Best Director,2025
Emilia Pérez,Critics Choice Awards,Winner: Best Song,2025
Emilia Pérez,Critics Choice Awards,Nominee: Best Actress,2025
Emilia Pérez,Critics Choice Awards,Nominee: Best Song,2025
Emilia Pérez,Critics Choice Awards,Winner: Best Supporting Actress,2025
Emilia Pérez,Critics Choice Awards,Winner: Best Foreign Language Film,2025
Emilia Pérez,Critics Choice Awards,Nominee: Best Acting Ensemble,2025
Emilia Pérez,Mumbai Film Festival,Official Selection,2024
Emilia Pérez,Lisbon & Estoril Film Festival,Official Selection,2024
Emilia Pérez,Black Reel Awards,Nominee: Outstanding Supporting Performance,2025
Emilia Pérez,Black Reel Awards,Nominee: Outstanding International Film,2025
Emilia Pérez,Black Reel Awards,Nominee: Outstanding Original Song,2025
Emilia Pérez,New Horizons International Film Festival,Official Selection,2024
Emilia Pérez,San Diego International Film Festival,Official Selection,2024
Emilia Pérez,Rome Film Festival,Official Selection,2024
Emilia Pérez,Capri Hollywood International Film Festival,Winner: Best Actress,2024
Emilia Pérez,Capri Hollywood International Film Festival,Winner: Best Ensemble Cast,2024
Emilia Pérez,Montclair Film Festival,Official Selection,2024
Emilia Pérez,NewFest - The New York LGBTQ+ Film Festival,Official Selection,2024
Emilia Pérez,Adelaide Film Festival,Official Selection,2024
The Substance,Cannes Film Festival,Winner: Best Screenplay,2024
The Substance,Academy Awards,Nominee: Best Picture,2025
The Substance,Academy Awards,Nominee: Best Actress in a Leading Role,2025
The Substance,Academy Awards,Nominee: Best Director,2025
The Substance,Academy Awards,Nominee: Best Original Screenplay,2025
The Substance,Academy Awards,Nominee: Best Makeup and Hairstyling,2025
The Substance,Independent Spirit Awards,Nominee: Best Feature,2025
The Substance,Independent Spirit Awards,Nominee: Best Lead Performance,2025
The Substance,Toronto International Film Festival,Winner: People’s Choice Midnight Madness Award,2024
The Substance,San Sebastián International Film Festival,Official Selection,2024
The Substance,Indiewire Critics' Poll,Nominee: Best Performance,2024
The Substance,Indiewire Critics' Poll,Nominee: Best Screenplay,2024
The Substance,Indiewire Critics' Poll,Nominee: Best Film,2024
The Substance,Indiewire Critics' Poll,Nominee: Best Director,2024
The Substance,BAFTA Awards,Nominee: Best Original Screenplay,2025
The Substance,BAFTA Awards,Nominee: Best Director,2025
The Substance,BAFTA Awards,Nominee: Best Actress in a Leading Role,2025
The Substance,BAFTA Awards,Nominee: Best Make Up & Hair,2025
The Substance,BAFTA Awards,Nominee: Best Sound,2025
The Substance,Golden Globes (USA),Nominee: Best Director - Motion Picture,2025
The Substance,Golden Globes (USA),Nominee: Best Motion Picture - Musical or Comedy,2025
The Substance,Golden Globes (USA),Nominee: Best Screenplay - Motion Picture,2025
The Substance,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Supporting Role in any Motion Picture,2025
The Substance,Los Angeles Film Critics Association Awards,3rd place: Best Lead Performance,2024
The Substance,European Film Awards,Nominee: European Screenwriter,2024
The Substance,European Film Awards,Winner: European Cinematography,2024
The Substance,European Film Awards,Winner: European Visual Effects,2024
The Substance,European Film Awards,Nominee: European Director,2024
The Substance,Edinburgh International Film Festival,Official Selection,2024
The Substance,Karlovy Vary International Film Festival,Official Selection,2024
The Substance,San Francisco Bay Area Film Critics Circle,Nominee: Best Director,2025
The Substance,San Francisco Bay Area Film Critics Circle,Nominee: Best Actress,2025
The Substance,San Francisco Bay Area Film Critics Circle,Nominee: Best Original Screenplay,2025
The Substance,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Makeup,2025
The Substance,London Critics Circle Film Awards,Nominee: Film of the Year,2025
The Substance,London Critics Circle Film Awards,Nominee: Director of the Year,2025
The Substance,London Critics Circle Film Awards,Nominee: Screenwriter of the Year,2025
The Substance,London Critics Circle Film Awards,Nominee: Actress of the Year,2025
The Substance,London Critics Circle Film Awards,Nominee: Supporting Actress of the Year,2025
The Substance,Antalya Golden Orange Film Festival,Official Selection,2024
The Substance,Toronto Film Critics Association Awards,Nominee: Outstanding Lead Performance,2024
The Substance,Chicago Film Critics Association Awards,Nominee: Best Art Direction/Production Design,2024
The Substance,Chicago Film Critics Association Awards,Nominee: Best Picture,2024
The Substance,Chicago Film Critics Association Awards,Winner: Best Use of Visual Effects,2024
The Substance,Chicago Film Critics Association Awards,Nominee: Best Director,2024
The Substance,Chicago Film Critics Association Awards,Nominee: Best Actress,2024
The Substance,Chicago Film Critics Association Awards,Nominee: Best Supporting Actress,2024
The Substance,Chicago Film Critics Association Awards,Nominee: Best Original Screenplay,2024
The Substance,Ghent Film Festival,Official Selection,2024
The Substance,Sydney Film Festival,Official Selection: Closing Night Film,2024
The Substance,Austin Film Critics Association,Winner: [3] AFCA Top 10 Films,2025
The Substance,Austin Film Critics Association,Nominee: Best Actress,2025
The Substance,Austin Film Critics Association,Winner: Best Supporting Actress,2025
The Substance,Austin Film Critics Association,Nominee: Best Original Screenplay,2025
The Substance,Austin Film Critics Association,Nominee: Best Cinematography,2025
The Substance,Austin Film Critics Association,Nominee: Best Director,2025
The Substance,Austin Film Critics Association,Winner: Best Editing,2025
The Substance,Austin Film Critics Association,Nominee: Best Picture,2025
The Substance,Melbourne International Film Festival,Official Selection,2024
The Substance,Busan International Film Festival,Official Selection,2024
The Substance,Munich Film Festival,Official Selection,2024
The Substance,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
The Substance,Athens International Film Festival,Official Selection,2024
The Substance,Seattle Film Critics Awards,Nominee: Best Screenplay,2025
The Substance,Seattle Film Critics Awards,Winner: Best Supporting Actress,2025
The Substance,Seattle Film Critics Awards,Nominee: Best Visual Effects,2025
The Substance,Seattle Film Critics Awards,Nominee: Best Director,2025
The Substance,Seattle Film Critics Awards,Nominee: Best Editing,2025
The Substance,Seattle Film Critics Awards,Winner: Best Picture,2025
The Substance,Seattle Film Critics Awards,Nominee: Best Lead Actress,2025
The Substance,Seattle Film Critics Awards,Nominee: Best Action Choreography,2025
The Substance,Sarajevo Film Festival,Official Selection,2024
The Substance,Sitges - Catalonian International Film Festival,Official Selection,2024
The Substance,Gotham Awards,Nominee: Outstanding Lead Performance,2024
The Substance,Norwegian International Film Festival,Official Selection,2024
The Substance,Reykjavik International Film Festival,Official Selection,2024
The Substance,Women Film Critics Circle Awards,Winner: Adrienne Shelly Award,2024
The Substance,Women Film Critics Circle Awards,Winner: Best Movie by a Woman,2024
The Substance,Women Film Critics Circle Awards,Winner: Best Woman Storyteller,2024
The Substance,Women Film Critics Circle Awards,Winner: Best Actress,2024
The Substance,Critics Choice Awards,Winner: Best Hair and Make-Up,2025
The Substance,Critics Choice Awards,Nominee: Best Picture,2025
The Substance,Critics Choice Awards,Nominee: Best Visual Effects,2025
The Substance,Critics Choice Awards,Nominee: Best Director,2025
The Substance,Critics Choice Awards,Winner: Best Actress,2025
